id_lokacije	naziv_lokacije	id_ustanove	mb_ustanove	naziv_ustanove	mbog	opstina	mbn	naselje	adresa	g_duzina	g_sirina	u_konturi
253	ОШ Краљ Александар I	85	7029675	Краљ Александар I	79014	Београд - Нови Београд	791067	Београд (Нови Београд)	Алексиначких рудара 22	20.416109	44.828316	TRUE
254	ОШ Филип Вишњић	117	7004427	Филип Вишњић	79014	Београд - Палилула	791075	Београд (Палилула)	Салвадора Аљендеа 17	20.522835	44.808094	TRUE
255	"ОШ ""5. Октобар"""	1302	9004556	5. октобар	90336	Гора	902900	Крушево		20.636782	41.980228	NA
256	"ОШ ""Свети Сава"""	885	7293003	Свети Сава	79022	Ниш - Медијана	792047	Ниш (Медијана)	Гарсије Лорке бб	21.919592	43.322051	TRUE
257	Владислав Савић Јан	963	7102933	Владислав Савић Јан	70670	Крушевац	721352	Паруновац	Димитрија Туцовића 3	21.364369	43.575257	TRUE
258	Ђуро Стругар	89	7029683	Ђуро Стругар	79014	Београд - Нови Београд	791067	Београд (Нови Београд)	Милутина Миланковића 148	20.400252	44.819245	TRUE
259	Вук Караџић	142	7002912	Вук Караџић	79014	Београд - Стари Град	791105	Београд (Стари Град)	Таковска 41	20.472167	44.814341	TRUE
260	"ОШ ""Јожеф Атила"" - József Attila Általános Iskola"	214	8063001	Јожеф Атила	80047	Апатин	800198	Купусина	Ади Ендре 4	19.016709	45.740653	TRUE
261	Вељко Банашевић	1270	9023577	Вељко Банашевић	90298	Косовска Митровица	914975	Косовска Митровица	Џона Кенедија 17	20.855244	42.877819	NA
262	"ОШ ""ГОРЊА ВАРОШ"""	53	7021097	Горња Варош	79014	Београд - Земун	791059	Београд (Земун)	Добановачка 72	20.395675	44.850323	TRUE
263	Миливоје Боровић	849	7216971	Миливоје Боровић	71234	Чајетина	745278	Мачкат		19.780568	43.793929	TRUE
264	Раде Кончар	48	7021062	Раде Кончар	79014	Београд - Земун	791059	Београд (Земун)	Златиборска 44	20.395593	44.836877	TRUE
265	Бранко Радичевић	638	7164688	Бранко Радичевић	71099	Смедерево	740381	Лугавчина	Бориса Кидрича бб	21.075752	44.52378	TRUE
266	Вук Караџић	15	7017286	Вук Караџић	79014	Београд - Вождовац	703656	Рипањ	Ерчанска 3	20.517657	44.639279	TRUE
267	ОШ``Свети Сава``	1202	7107455	Свети Сава	70998	Прокупље	736210	Прокупље	Милоша Црњанског бб	21.591406	43.240177	TRUE
268	"ОШ ""Трећи крагујевачки батаљон"""	717	7149131	Трећи крагујевачки батаљон	70645	Крагујевац	718980	Крагујевац	Јесењинов 17	20.897996	44.00533	TRUE
269	"ОШ "" Иво Андрић """	1044	7174411	Иво Андрић	79022	Ниш - Црвени Крст	792039	Ниш (Црвени Крст)	Бранко Бјеговић бб	21.872484	43.344596	TRUE
270	"ОШ ""21 новембар"""	1287	9021973	21. новембар	90026	Вучитрн	900648	Гојбуља		20.988865	42.849922	NA
271	Станислав Бинички	967	7102763	Станислав Бинички	70670	Крушевац	720992	Јасика	Станислава Биничког бб	21.297483	43.611096	TRUE
